"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"a0ce","Marugame Udon - Lucky Chinatown Mall","Japanese",5.0,597,"manila"
"a0ci","Max Mango - Bluewave Marikina","Beverages",5.0,259,"marikina"
"a0cm","Flavors Lounge + Cafe - Nasipit Talamban","Coffee",0.0,0,"cebu city"
"a0d1","Holy Eats! 24/7","Asian",5.0,104,"pasig city"
"a0gr","McDonald's - Ormoc","Fast Food",5.0,7190,"ormoc leyte"
"a0h5","Cebu Ramen Bar - Pama Street","Ramen",0.0,0,"cebu city"
"a0j0","All Wings - EDSA","Chicken",4.8,34,"mandaluyong city"
"a0mh","Sisig Marino at iba pa - Menzyland Maunlad Homes","Filipino",5.0,259,"malolos bulacan"
"a0o6","FIC (Fruits in Ice Cream) - Pasig","Ice Cream",5.0,26,"pasig city"
"a0tg","Shakey's Pizza - Festival Mall","Pizza",4.9,313,"muntinlupa city"
"a0vm","MicroBurger - Arellano Street","Burgers",3.4,236,"dagupan pangasinan"
"a0wx","Hex Coffee - McKinley West","Coffee",5.0,26,"taguig city"
"a15j","Koomi - Shangri-La","Beverages",5.0,92,"mandaluyong city"
"a18q","Starbucks - Torre Lorenzo Malate","Coffee",5.0,747,"manila"
"a18z","Angkol J Special Baked Biko - Guadalupe","Filipino",5.0,279,"cebu city"
"a1b2","DAKS Shawarma by Boys Night Out - Manila","Shawarma",4.9,133,"manila"
"a1cd","The Master Tea & Coffee - Putatan","Milk Tea",4.9,700,"muntinlupa city"
"a1dr","Cobo Tea - Mandaue","Milk Tea",5.0,1097,"cebu city"
"a1ed","Tomekichi Takoyaki - Taguig","Takoyaki",5.0,2680,"taguig city"
"a1fk","Mama Valenciana - Greenhills","Filipino",5.0,233,"san juan"
"a1iu","The Kitchen Noypi - Quezon","Filipino",0.0,0,"quezon city"
"a1ji","Ate Mar Kambingan - C P Garcia Highway","Filipino",4.9,1478,"davao city davao del sur"
"a1li","High Tea - San Miguel","Milk Tea",5.0,1039,"manila"
"a1ow","Taho Klasiko - Mandaluyong","Desserts",5.0,107,"mandaluyong city"
"a1rz","Ross & Brew - Malolos","Milk Tea",5.0,279,"malolos bulacan"
"a1tb","Yunah's Lechon Belly House - Pasay","Lechon",5.0,44,"pasay city"
"a1w2","J.CO Donuts & Coffee - Trinoma Mall","Donut",5.0,1607,"quezon city"
"a1xp","Driptea - Basak","Milk Tea",5.0,88,"lapu-lapu city cebu"
"a1y2","Marugame Udon - Robinsons Galleria","Japanese",5.0,951,"quezon city"
"a272","Avocadoria.ph - SM Mall of Asia","Desserts",0.0,0,"pasay city"
"a29q","Ai - Ai Milktea Station - Country Homes Cabantian","Asian",4.9,61,"davao city davao del sur"
"a29q","Ai Ai Milktea Station - Communal","Asian",4.9,57,"davao city davao del sur"
"a2aj","Sisig Hooray - The Marketplace Shopping Mall","Sisig",4.9,220,"mandaluyong city"
"a2bg","The Mouthstash - Catalunan Pequeño","American",5.0,419,"davao city davao del sur"
"a2bs","Cafe France - UERM","Sandwiches",4.9,74,"quezon city"
"a2ds","Pizzeria, Pasta, Burgers, Sushi & Sweets by Chef Jessie","Sushi",4.8,518,"manila"
"a2ds","Jessie's Sushi - Biak na Bato","Sushi",4.8,518,"manila"
"a2f6","Mango Delight - Elias Street","Milk Tea",5.0,419,"manila"
"a2fg","Tom N Toms Coffee - Gaisano Island Mactan","Coffee",5.0,607,"lapu-lapu city cebu"
"a2fx","Crunch Time - N. Garcia","Fried Chicken",5.0,536,"makati city"
"a2i5","Ann G. Samgyupsal & Korean Food Product Trading - Santa Lucia","Ulam",0.0,0,"quezon city"
"a2ih","Sugbahan - Elizabeth Mall","Fish",4.8,190,"cebu city"
"a2is","King Sisig - Shaw Boulevard","Sisig",5.0,733,"mandaluyong city"
"a2jd","Ribshack - SM City Cebu","",5.0,2095,"cebu city"
"a2jn","Nonki Japanese Restaurant - AutoVille Building","Japanese",5.0,488,"davao city davao del sur"
"a2lm","Pizza Hut - Vista Mall Malolos","Pizza",5.0,1063,"malolos bulacan"
"a2n2","Sip Up Coffee- Ususan Taguig City","Asian",0.0,0,"taguig city"
"a2oh","Mango Magic - Robinsons Place Ormoc","Fruit Shake",5.0,658,"ormoc leyte"
"a2pe","Ihaw ay Akin - Makati","Fast Food",4.8,186,"makati city"
"a2pw","The Original Pares Mami House - Amoranto","Filipino",5.0,13252,"quezon city"
"a2uw","Rita's Pancit Ng Taga Malabon - Ever Commonwealth","Noodles",0.0,0,"quezon city"
"a2uz","Baked Sushi, Wings, Italian Pizza & Cakes The Crave Café","Sushi",4.9,110,"manila"
"a2uz","Mr. Baked Sushi - Biak na Bato","Sushi",4.9,110,"manila"
"a2w1","Patty's Bakeshop - Colon Street 2","Bread",4.9,209,"cebu city"
"a2wr","Melton's Halo-Halo - Tabura Street","Halo-Halo",5.0,863,"cebu city"
"a2yl","Teriyaki Boy - C5 Heritage","Japanese",4.9,18,"taguig city"
"a300","Ihaw ay Akin - Pasig","Filipino",4.9,239,"pasig city"
"a308","Kosturiangel Restaurant Halal - Banawe","Indian",5.0,138,"quezon city"
"a312","HWKR in AbacaEats - Vista Mar Mactan","Asian",0.0,0,"lapu-lapu city cebu"
"a336","Chicken Frontyard - Lahug","Asian",3.1,13,"cebu city"
"a33k","King Chef - West Avenue","Chinese",5.0,13,"quezon city"
"a34z","Saing Cafe - Villamor","Filipino",0.0,0,"manila"
"a37k","Caffeena - Taft","Coffee",3.9,12,"manila"
"a39b","Jasmine - New World Hotel","Chinese",5.0,47,"makati city"
"a3af","Armenia’s Breads Cakes and Pastries - MacArthur Highway","Cakes",5.0,63,"malolos bulacan"
"a3ah","Steamed Rice and Lamaw Ta Bai! - Banilad","Asian",4.8,286,"cebu city"
"a3dh","Old Saigon - Yakal","Asian",4.9,16,"makati city"
"a3ef","Jamba - SM Megamall","Beverages",5.0,278,"mandaluyong city"
"a3f6","Grateatude - Comembo","Beverages",4.9,148,"makati city"
"a3gc","Hen Lin - Diliman","Chinese",5.0,293,"quezon city"
"a3gr","K-Egg - Cybergate Cebu","Sandwiches",4.9,62,"cebu city"
"a3hr","Miguelito's Avocado Locco - SM City East","Ice Cream",5.0,241,"pasig city"
"a3ir","Brewkadahan Cafe","Filipino",0.0,0,"manila"
"a3n2","Big Boks - Marikina","Chicken",0.0,0,"marikina"
"a3rv","Thai Dara - Pioneer Center","Thai",5.0,492,"pasig city"
"a3t1","MARUNISHI JAPANESE RAMEN","Japanese",0.0,0,"manila"
"a3yu","Serenitea - Estancia Mall","Milk Tea",5.0,910,"pasig city"
"a44p","Scout's Honor - Public Eatery","Desserts",4.9,11,"quezon city"
"a45v","Cookies n' Dream - Lapu-Lapu City","Cakes",5.0,316,"lapu-lapu city cebu"
"a46d","Buko Express - WMall Macapagal","Fruit Shake",5.0,12,"pasay city"
"a47s","Maboy's Food House - Talamban","Filipino",5.0,170,"cebu city"
"a4bn","Breakfast Club - Pasig","Filipino",5.0,1547,"pasig city"
"a4dd","Ben's Cookies - Mall of Asia","Desserts",5.0,87,"pasay city"
"a4lb","KFC - Ayala Cebu 2","Fast Food",5.0,3119,"cebu city"
"a4ml","Paik's Coffee - BGC","Beverages",5.0,12,"taguig city"
"a4pv","Serenitea - Victoria Plaza","Milk Tea",5.0,1238,"davao city davao del sur"
"a4rt","Mang Inasal - Ayala Arvo","Chicken",5.0,4445,"marikina"
"a4z4","Lorenzo's Cafe - Junquera","Coffee",5.0,11,"cebu city"
"a5cf","Sam Janella's Ihaw Ihaw House - Pasay","Filipino",4.8,382,"makati city"
"a5cs","Mamay's Tapsilogan - Albina","Filipino",4.9,807,"manila"
"a5hg","Earl of Sandwich - Estancia Mall","Sandwiches",5.0,168,"pasig city"
"a5jw","Teng-Teng Panciteria - Tañong Marikina","Filipino",5.0,2790,"marikina"
"a5ku","Italianni's - Robinsons Magnolia","Italian",0.0,0,"quezon city"
"a5r3","Bibingkinitan - SM San Lazaro","Desserts",5.0,73,"manila"
"a5tb","Flavor Impact - Diliman","Asian",4.9,39,"quezon city"
"a5v4","Watami - Conrad","Japanese",0.0,0,"pasay city"
"a5va","PICKUP COFFEE - Ayala Mall Feliz","Coffee",5.0,46,"pasig city"
"a5xm","Boba Ka Tea - Holy Spirit","Beverages",4.9,227,"quezon city"
"a61g","Sugar Buddies - Mactan Town Center","Coffee",0.0,0,"lapu-lapu city cebu"
"a63o","M- Food Hub - The Manila Residences Tower II","Fast Food",4.9,49,"manila"
"a64p","Pasta Italliana - Biak na Bato","Pasta",5.0,433,"manila"
"a64t","Cafe del Pasig - One Victoria Plaza and Bazaar","Coffee",0.0,0,"pasig city"
"a68i","Frankie's New York Buffalo Wings - Robinsons Place Manila","Chicken Wings",5.0,216,"manila"
"a6a5","Pop's & Marb's Silogan - B Aranas Extension","Silog",4.8,14,"cebu city"
"a6cs","Cobo Tea - Ayala Center Cebu","Milk Tea",5.0,1101,"cebu city"
"a6dd","D' Original Pares - Pasig","Filipino",5.0,3346,"pasig city"
"a6lz","Nono's - Uptown Mall","Sandwiches",5.0,87,"taguig city"
"a6n7","Terry's Bistro - Molito Lifestyle Center","Filipino",4.9,13,"muntinlupa city"
"a6nk","Don Benito's - Taguig","Cakes",5.0,497,"taguig city"
"a6nw","Rackuz Home of the Best Crispy Pata - Camarilla","Filipino",5.0,1122,"quezon city"
"a6ou","Takam - Alabang Zapote Road","Filipino",5.0,109,"muntinlupa city"
"a6qe","Tiger Winx - UST","Chicken",5.0,2392,"manila"
"a6si","Libertea Milktea -  Emerald Avenue","Milk Tea",5.0,188,"pasig city"
"a6tk","CCYG Chung Choon Yeon Ga 청춘연가 - Malate","Korean",5.0,608,"manila"
"a6wb","Kapwerte Cafe","Coffee",0.0,0,"marikina"
"a6wy","Potato Corner - Newport Mall Resorts World Manila","Fries",4.9,65,"pasay city"
"a6zl","Bambino's Kitchen - Sun Valley","Filipino",5.0,11,"cebu city"
"a713","Wow Shawarma P.Campa-Delos Reyes","Shawarma",4.9,12,"manila"
"a76f","Cheers Minimart and Food - DRB Building","Rice Dishes",0.0,0,"quezon city"
"a7bt","May Abohan - Gaisano Capital SRP","Filipino",5.0,391,"cebu city"
"a7bw","Bully Buffalo - Recto","Rice Dishes",4.9,15,"manila"
"a7fr","Lawson Cup & Go - Reach","Coffee",4.9,40,"pasay city"
"a7ix","Bacolod House - Bago Bantay","American",4.9,815,"quezon city"
"a7js","The Meating Place Korean BBQ Grill Co - Sandoval Ave.","Japanese",4.9,260,"pasig city"
"a7lj","Dad'z Food Hub - Belleza Street","Takoyaki",0.0,0,"cebu city"
"a7md","I Love Milktea - Mendiola","Milk Tea",4.8,58,"manila"
"a7tc","CUPS - Diliman","Coffee",0.0,0,"quezon city"
"a7tv","MANNA Food From Heaven - Regalado Avenue","Chicken Wings",4.9,42,"quezon city"
"a7ut","Foe Food Station - Metro Bank Avenue","Siomai",0.0,0,"pasay city"
"a7xd","Pizzatalk - Greenville Commercial Building","Pizza",5.0,504,"taguig city"
"a7xr","Ice Tag Cafe - Sobrecary","Milk Tea",5.0,1602,"davao city davao del sur"
"a7zn","Andy's Famous Batangas Lomi & Bulalo - Kaunlaran Street","Filipino",5.0,789,"marikina"
"a8a9","Uncle Brew - Prime Pardo","Coffee",5.0,20,"cebu city"
"a8ax","Cafe 2.0 - Mandaluyong","Beverages",4.8,64,"mandaluyong city"
"a8dj","Master Gaw 24/7 - Fairview QC","Chicken",5.0,123,"quezon city"
"a8ii","KFC - Marbel","Fast Food",5.0,3890,"koronadal south cotabato"
"a8ks","Taco Bo's Deluxe","Shawarma",4.8,37,"lapu-lapu city cebu"
"a8m4","Primo’s Unlimited Bucket Wings - Comembo","Chicken Wings",0.0,0,"taguig city"
"a8rg","Siomai House - Ayala Malls Feliz","Siomai",5.0,107,"pasig city"
"a8sp","Taylor's Play Cafe - Circulo Verde","Beverages",0.0,0,"quezon city"
"a8u0","Choi Garden - Annapolis","Chinese",0.0,0,"san juan"
"a8ub","Modern Shanghai - My South Hall","Chinese",0.0,0,"pasay city"
